Temperature,Strategy,Score,Model,Control,Words
Mid,Original Instructions,,Randomization,Randomization,"['pregenitality', 'nanomaterial', 'handbell', 'kiddies', 'overfruticulturation', 'mishereditarianismisability', 'rostrum', 'derringer', 'cyberfeminists', 'flatulences']"
Mid,Original Instructions,,Randomization,Randomization,"['tiki', 'authoress', 'hard-boiled', 'turbot', 'pantheologist', 'pigeon-breasted', 'unrepairable', 'overcitrinin', 'officialisms', 'zoocentrismisable']"
Mid,Original Instructions,,Randomization,Randomization,"['affronts', 'granges', 'sclerotic', 'outbiopreservationably', 'outergophobiativeness', 'outcepharanthine', 'ethosuximidally', 'postseasons', 'blunts', 'lisps']"
Mid,Original Instructions,,Randomization,Randomization,"['resolved', 'quarter-hour', 'misboullations', 'pejoratives', 'streak', 'phycologists', 'neurochemists', 'eightieths', 'grumpy', 'billets-doux']"
Mid,Original Instructions,,Randomization,Randomization,"['interviewers', 'vergers', 'saturation', 'deoxygenate', 'bacteriophobiativeness', 'ferrimagnetismally', 'overmatching', 'lyssavirus', 'tusking', 'ratty']"
Mid,Original Instructions,,Randomization,Randomization,"['overwoodsmocations', 'spatulas', 'phasers', 'safranines', 'outcinereumible', 'decrescendo', 'mukluk', 'ornithoids', 'french', 'dulling']"
Mid,Original Instructions,88.43235798512704,Randomization,Randomization,"['autochthonous', 'coffeehouses', 'holidaymaker', 'marginally', 'swarthy', 'contd', 'hardhats', 'autointoxicationativeness', 'outdianisidine', 'lithotriptic']"
Mid,Original Instructions,,Randomization,Randomization,"['monarchism', 'outelectrosurgerisers', 'overultraconservatismably', 'overgenderfluiditications', 'syndactyl', 'raygun', 'discolour', 'transistorise', 'kinks', 'missulfapyridine']"
Mid,Original Instructions,87.90321267621715,Randomization,Randomization,"['miseschaton', 'reactionary', 'exorcized', 'stained', 'peppergrass', 'postpectoral', 'arborealitications', 'paleness', 'ectotherms', 'labium']"
Mid,Original Instructions,,Randomization,Randomization,"['hymeneals', 'disinvests', 'precodes', 'vagarious', 'standstill', 'bonemeal', 'entrain', 'eighty-fourfold', 'jib', 'peculate']"
Mid,Original Instructions,,Randomization,Randomization,"['rabbits', 'misradiotelemetrications', 'epididymides', 'caparisons', 'pseudostigma', 'overcybermedicinativeness', 'cottontails', 'vectorial', 'outvetivertisability', 'overautomixisible']"
Mid,Original Instructions,,Randomization,Randomization,"['decryings', 'sanitizing', 'outgobbledygookry', 'brackens', 'lumpenproletariat', 'forepeak', 'straightforwardness', 'trachea', 'stopcock', 'outcherrywoodably']"
Mid,Original Instructions,,Randomization,Randomization,"['techn̩', 'rose', 'outnaringinisable', 'outcyberjusticisability', 'bancassurancible', 'canonry', 'secondariness', 'catalogers', 'overmindwarisability', 'grandfatherly']"
Mid,Original Instructions,88.67279231595505,Randomization,Randomization,"['euthanasias', 'enterprisingly', 'overspilling', 'shakes', 'overclandestinitally', 'tropics', 'slower', 'overgarbageably', 'stuccoed', 'bights']"
Mid,Original Instructions,87.85201315204291,Randomization,Randomization,"['dualizes', 'barging', 'untouchable', 'extrasolar', 'macaroons', 'dermatosis', 'epeirogenesisable', 'moistures', 'inunction', 'rebating']"
Mid,Original Instructions,,Randomization,Randomization,"['martial', 'cyberwhore', 'overparoxetinations', 'dupers', 'outbevacizumaptiveness', 'ritualistic', 'please', 'ivied', 'miswordlorisability', 'mislachrymationally']"
Mid,Original Instructions,,Randomization,Randomization,"['misbipedalism', 'wooers', 'trimonthlies', 'reimagine', 'whims', 'sharpen', 'chikungunyations', 'aperitif', 'overrosalinations', 'hemimetabolic']"
Mid,Original Instructions,,Randomization,Randomization,"['waterfalls', 'demilitarization', 'kronurs', 'peter', 'outhaplodiploidications', 'sauntering', 'shortstop', 'outcyberdeathisability', 'littermate', 'epigraphists']"
Mid,Original Instructions,95.51808191322715,Randomization,Randomization,"['stretchmarks', 'nifedipinisability', 'antidromic', 'paver', 'every', 'endoscopists', 'misfactualismation', 'mollycoddling', 'outpreadolescenceably', 'suspicious']"
Mid,Original Instructions,,Randomization,Randomization,"['deferences', 'skirted', 'overanxiously', 'tippers', 'outnitazoxanisiveness', 'guitarists', 'monomethylisability', 'overwarfarinativeness', 'outfarmstockativeness', 'sunbitterns']"
Mid,Original Instructions,92.71438405499278,Randomization,Randomization,"['vodunation', 'embossers', 'jottings', 'sub-items', 'biophobia', 'downsides', 'miraculously', 'deviants', 'supervise', 'clinician']"
Mid,Original Instructions,,Randomization,Randomization,"['counterbalanced', 'apostleship', 'outbenchworkally', 'immunocompetence', 'zebrawoods', 'townlet', 'produce', 'paramilitarismation', 'erythematic', 'orthoptic']"
Mid,Original Instructions,,Randomization,Randomization,"['egomanias', 'ramify', 'forty-seconds', 'outfinasteridably', 'chivalric', 'sixty-firsts', 'idol-worshipping', 'insufficiency', 'splutters', 'rings']"
Mid,Original Instructions,92.7096277809828,Randomization,Randomization,"['sequesters', 'prayerfulness', 'overyobbismation', 'vaporisers', 'outbiominingisability', 'kerfuffle', 'blimpishness', 'imprisoned', 'safest', 'minority']"
Mid,Original Instructions,,Randomization,Randomization,"['expressly', 'handbarrows', 'boardsailors', 'responsal', 'albuminous', 'antithrombins', 'remunerated', 'glipizide', 'centres', 'signwriters']"
Mid,Original Instructions,88.57335891042297,Randomization,Randomization,"['beavers', 'chlorosis', 'outpouring', 'lip-service', 'sixtieth', 'lisles', 'clairvoyance', 'webheads', 'outelectroreceptionably', 'metropolitans']"
Mid,Original Instructions,,Randomization,Randomization,"['aw', 'petrosals', 'rationalise', 'rotound', 'lattices', 'outviviparitications', 'doting', 'outwetwarativeness', 'barnstorming', 'immunologist']"
Mid,Original Instructions,86.33586880692279,Randomization,Randomization,"['energise', 'chicaned', 'mutinies', 'fathoming', 'ischia', 'coalfaces', 'dilly-dallying', 'robberies', 'miscybermaniatisability', 'frown']"
Mid,Original Instructions,,Randomization,Randomization,"['outnortriptylinisable', 'time-consuming', 'fixities', 'eighteenth', 'muted', 'teepee', 'weaverbirds', 'celebratednesses', 'novelised', 'pubic']"
Mid,Original Instructions,91.23604771146819,Randomization,Randomization,"['naughtily', 'fleshpot', 'derricks', 'nitroxisable', 'dysmorphia', 'cannoneer', 'oscillator', 'epitaph', 'rescheduling', 'swimsuits']"
Mid,Original Instructions,,Randomization,Randomization,"['outscoring', 'zooxanthella', 'atomisations', 'dioramas', 'overtechnobabblible', 'subordinaries', 'smuggling', 'reformatting', 'misatompunkation', 'umbilical']"
Mid,Original Instructions,,Randomization,Randomization,"['heartsickness', 'lenticular', 'missurra', 'cyberphobiatisability', 'contrapuntally', 'avers', 'reformulated', 'saprogenic', 'reappeared', 'enzymologisable']"
Mid,Original Instructions,,Randomization,Randomization,"['decayer', 'crabgrass', 'scrips', 'relenting', 'macrosmatic', 'misantiterrorismisable', 'orang-outang', 'vising', 'rotoscope', 'encephalic']"
Mid,Original Instructions,,Randomization,Randomization,"['degeneratenesses', 'uppercuts', 'entablatures', 'halving', 'misethography', 'glaring', 'ellipsometriably', 'addressee', 'urogram', 'chloroquinably']"
Mid,Original Instructions,92.39463437065444,Randomization,Randomization,"['franking', 'starer', 'infections', 'struggle', 'metabolic', 'flagellating', 'outparangiation', 'instar', 'overfamiliarity', 'aquavits']"
Mid,Original Instructions,,Randomization,Randomization,"['jadednesses', 'misneurochemistrially', 'islander', 'sewing', 'recolonise', 'miscyberanonymitications', 'mindfulnesses', 'overfond', 'puckers', 'somewhere']"
Mid,Original Instructions,,Randomization,Randomization,"['wassailing', 'traumatised', 'clothesman', 'polaritonic', 'prefilling', 'fascine', 'spoiled', 'disequilibriums', 'misaerospace', 'susceptibles']"
Mid,Original Instructions,,Randomization,Randomization,"['choppiness', 'overtamsulosinnery', 'misnihiliticativeness', 'automaton', 'aces', 'overstepped', 'monolatrists', 'lawgiver', 'absorptions', 'overgrapeshotible']"
Mid,Original Instructions,,Randomization,Randomization,"['anatomising', 'integrases', 'onglaze', 'cyberjargonation', 'wicker', 'confluently', 'beseeming', 'outsalsifisability', 'vampy', 'bowstrung']"
Mid,Original Instructions,,Randomization,Randomization,"['backloading', 'communised', 'roller-skated', 'comprehensiblenesses', 'fecundated', 'undisguised', 'misrampancisability', 'overhacktivismations', 'sidesplitting', 'overdiachroneitisable']"
Mid,Original Instructions,,Randomization,Randomization,"['centrifugate', 'so', 'adjustable', 'pulmonaria', 'subnuclear', 'outexophthalmosation', 'yttriumations', 'unsuspended', 'interspersions', 'heedlessnesses']"
Mid,Original Instructions,,Randomization,Randomization,"['dewan', 'electrolytes', 'electrotypers', 'insolubility', 'canonicalizations', 'commercialize', 'voltammetrication', 'goshes', 'overantiterrorismations', 'outcyberinformationations']"
Mid,Original Instructions,,Randomization,Randomization,"['apexes', 'surface-to-air', 'overcybernationalismations', 'biopharma', 'qualifiedly', 'jobber', 'neurobiological', 'fetishes', 'endoblasts', 'pleasingness']"
Mid,Original Instructions,,Randomization,Randomization,"['hypoed', 'throated', 'overabdominoscopicativeness', 'cambial', 'misintentionalismably', 'tentativenesses', 'overarctophilyible', 'tumble', 'misoogamicativeness', 'squirmiest']"
Mid,Original Instructions,,Randomization,Randomization,"['boniest', 'violists', 'imperialisms', 'residuary', 'bodyhood', 'miscyberespionageably', 'punted', 'haughtinesses', 'mishaematoporphyriation', 'samovar']"
Mid,Original Instructions,,Randomization,Randomization,"['crapping', 'perseverating', 'radiosensitized', 'bushinesses', 'acupressure', 'misvetivertiveness', 'antidisestablishmentarians', 'eigenfunctions', 'rottenstone', 'harvestman']"
Mid,Original Instructions,,Randomization,Randomization,"['patronize', 'doxing', 'overdrawer', 'stuffily', 'minefields', 'outspywarably', 'biopesticide', 'misgasolinably', 'falconer', 'atonalismally']"
Mid,Original Instructions,,Randomization,Randomization,"['cyberpiracisable', 'forenames', 'prelatismible', 'dialog', 'stomachs', 'nonindependent', 'overcyberwarfarible', 'inertially', 'misknitbonally', 'tablemates']"
Mid,Original Instructions,90.45799703236848,Randomization,Randomization,"['heterophobes', 'bombing', 'misgradabilitisability', 'coordinately', 'fenestrations', 'shelve', 'supergravity', 'boldfacing', 'sulky', 'outaerobiology']"
Mid,Original Instructions,,Randomization,Randomization,"['hitmakers', 'cybermoney', 'pondering', 'teratogenic', 'kiteboarding', 'demagnetisers', 'misemollienceably', 'misrosemaryry', 'misethnobiologication', 'goodnight']"
Mid,Original Instructions,,Randomization,Randomization,"['auditing', 'neuropterous', 'outadmassiveness', 'neuropeptides', 'outbreeds', 'bugfixes', 'overorganicitally', 'vivisectional', 'sockeyes', 'beanos']"
Mid,Original Instructions,89.63883989794564,Randomization,Randomization,"['criminalisations', 'micrite', 'belching', 'ventilators', 'dysthymia', 'reembodying', 'toga', 'naturist', 'vengeful', 'autoshaping']"
Mid,Original Instructions,93.65013540044063,Randomization,Randomization,"['hypnagogia', 'telephoned', 'archangels', 'loquacities', 'lacer', 'overparamagnetismible', 'disaffected', 'adversation', 'feeds', 'profound']"
Mid,Original Instructions,,Randomization,Randomization,"['daffinesses', 'heinous', 'podium', 'scuffing', 'outcerumenisability', 'medianly', 'illusionistic', 'turn-offs', 'addicting', 'misspectinomycinations']"
Mid,Original Instructions,,Randomization,Randomization,"['immoralism', 'compering', 'overnomophobially', 'shalier', 'adieus', 'silanes', 'wackier', 'miserabilists', 'soundstages', 'frigidity']"
Mid,Original Instructions,84.39260238075025,Randomization,Randomization,"['sadomasochist', 'diapsids', 'hoodlums', 'mischermoulaably', 'blocklists', 'monocled', 'goo', 'palaeomagnetic', 'rarest', 'publican']"
Mid,Original Instructions,,Randomization,Randomization,"['subserviently', 'exsolves', 'outuncomprehensionativeness', 'half-heartedness', 'envies', 'knap', 'okapi', 'aggrieves', 'misinteractionismativeness', 'gheeably']"
Mid,Original Instructions,92.51392039412768,Randomization,Randomization,"['doorways', 'non-decreasing', 'fur', 'tootsies', 'outreaching', 'cheerfullest', 'overcame', 'sanders', 'overantivivisectionismible', 'high-mindedly']"
Mid,Original Instructions,87.36561419472085,Randomization,Randomization,"['accede', 'macrocytosis', 'groupwarably', 'cycler', 'graceless', 'outomnificenctions', 'didymium', 'neocons', 'darned', 'rejuvenise']"
Mid,Original Instructions,89.68322763668665,Randomization,Randomization,"['bilayer', 'cleverness', 'hillstars', 'nudged', 'outstarchitecturiser', 'unavailingly', 'mistizanidinativeness', 'archivists', 'bighearted', 'makeover']"
Mid,Original Instructions,,Randomization,Randomization,"['handwritten', 'identical', 'outmonomethyl', 'redrawing', 'skeuomorphs', 'greenly', 'outnightwearially', 'playgirl', 'seventy-fourfold', 'slipcases']"
Mid,Original Instructions,85.41168511928267,Randomization,Randomization,"['tokenizing', 'passers-by', 'stern', 'holies', 'placates', 'postmodernismatory', 'overpalaeohydrologiably', 'quackish', 'reiterations', 'heighten']"
Mid,Original Instructions,,Randomization,Randomization,"['oxidation', 'miszootomication', 'upbraiding', 'servomotors', 'bleepers', 'philandered', 'neurogenesisable', 'irreligionist', 'leaguers', 'enzymologicativeness']"
Mid,Original Instructions,,Randomization,Randomization,"['problematiques', 'dreamlessly', 'waggled', 'curial', 'bead', 'gritter', 'miscitronylible', 'overnumber', 'automating', 'misbromoform']"
Mid,Original Instructions,93.67399590285055,Randomization,Randomization,"['accidentalism', 'unwrap', 'practicableness', 'divulgement', 'large-scale', 'recentralise', 'outstretch', 'weighbridges', 'kittens', 'buggier']"
Mid,Original Instructions,,Randomization,Randomization,"['unmembering', 'zwiebacks', 'quirks', 'parallaxes', 'communists', 'gravy', 'confusingly', 'numismatographiably', 'writhed', 'outcyberplagiarism']"
Mid,Original Instructions,87.67672365047807,Randomization,Randomization,"['halt', 'overorangewoosiveness', 'exclusiveness', 'schoolbags', 'firecrests', 'perpetuity', 'alt-rock', 'tumults', 'exoneration', 'reinvestible']"
Mid,Original Instructions,86.56169441950654,Randomization,Randomization,"['rowing-boat', 'maximality', 'invokes', 'preferment', 'disowned', 'bagger', 'overdiabesity', 'abolisher', 'pervo', 'minicam']"
Mid,Original Instructions,,Randomization,Randomization,"['monologized', 'anathematised', 'microcontinent', 'imidazole', 'outtechnations', 'closeups', 'fasciculations', 'tizanidinally', 'acculturation', 'overagnolotti']"
Mid,Original Instructions,89.86919142129007,Randomization,Randomization,"['designation', 'rosetted', 'displaying', 'lamed', 'doglike', 'electrofulgurationativeness', 'iconographically', 'miscyberlandally', 'enterer', 'reattachment']"
Mid,Original Instructions,,Randomization,Randomization,"['recombinations', 'overwheatgermisability', 'misexophthalmusation', 'protrudes', 'advisee', 'outcyberterrorismativeness', 'datalogyible', 'xii', 'misneurochemistricativeness', 'pastorates']"
Mid,Original Instructions,92.68937806170166,Randomization,Randomization,"['froward', 'outapocalypticism', 'banner', 'omnisciently', 'preachers', 'blankets', 'outcrimewarativeness', 'inseparability', 'mittens', 'overopisthorchiasisible']"
Mid,Original Instructions,,Randomization,Randomization,"['simpleminded', 'headway', 'tomographic', 'ablepsisable', 'assemble', 'descendeurs', 'rationales', 'nutritiousness', 'convokes', 'outcybercash']"
Mid,Original Instructions,,Randomization,Randomization,"['halals', 'sexualisation', 'furrowing', 'messes', 'outnixible', 'circumambulated', 'creakiest', 'deallocation', 'vandalizes', 'maraschinos']"
Mid,Original Instructions,,Randomization,Randomization,"['gagaably', 'museological', 'overagflationations', 'overbuilt', 'plains', 'motor', 'pseudospheres', 'outpankoations', 'plane', 'pitch-dark']"
Mid,Original Instructions,,Randomization,Randomization,"['misautomixisable', 'aftermath', 'hire-purchase', 'var', 'unaccepted', 'overaerophagication', 'misomnisexuality', 'lotus', 'electroporates', 'decontextualize']"
Mid,Original Instructions,,Randomization,Randomization,"['overvocalesally', 'cyberpoems', 'outwhistleblowingible', 'flew', 'blackout', 'inadvisable', 'overairglowably', 'analyses', 'bodyguarding', 'outcerumenisability']"
Mid,Original Instructions,,Randomization,Randomization,"['excusal', 'commanding', 'outnymphologisability', 'mistelemedicination', 'sex-reversed', 'objects', 'adventitiousness', 'chopsticks', 'gruellingly', 'muskmelon']"
Mid,Original Instructions,86.18702444418845,Randomization,Randomization,"['downwash', 'hiccoughs', 'polyphony', 'exacerbate', 'outneuroendocrinologicativeness', 'overgeekdomible', 'predestine', 'obscenity', 'deejaying', 'librated']"
Mid,Original Instructions,,Randomization,Randomization,"['blisteringly', 'noctuids', 'sealers', 'looter', 'signally', 'mischloroacetonation', 'overaldrinible', 'zincking', 'misheteronomially', 'incisivenesses']"
Mid,Original Instructions,94.71416434401273,Randomization,Randomization,"['wears', 'showjumping', 'adultnesses', 'conductively', 'unwiseness', 'tipster', 'tackled', 'tranquiler', 'calender', 'monocytes']"
Mid,Original Instructions,,Randomization,Randomization,"['marts', 'outcitriculturation', 'overrubidiummation', 'dippiest', 'unseaworthy', 'cloacae', 'monkish', 'houseboats', 'outnizatidination', 'misfarmstockation']"
Mid,Original Instructions,86.39565817890693,Randomization,Randomization,"['westernises', 'socialises', 'readiest', 'radiances', 'bedsheets', 'descried', 'actuaries', 'overexpression', 'overthrust', 'legibility']"
Mid,Original Instructions,,Randomization,Randomization,"['outbipedaliticativeness', 'pallidly', 'artier', 'totalitarians', 'freed', 'lavished', 'tapster', 'cyberservices', 'malleoincudal', 'mischloroacetonisability']"
Mid,Original Instructions,90.68007085927687,Randomization,Randomization,"['babyishly', 'rephrased', 'headwinds', 'colonists', 'cometary', 'larches', 'photographing', 'heretic', 'bilberries', 'charioting']"
Mid,Original Instructions,,Randomization,Randomization,"['gadget', 'non-white', 'pudgiest', 'ghostlier', 'crankest', 'avg', 'questionnaire', 'overpadoukisable', 'dowsers', 'reinitialization']"
Mid,Original Instructions,92.68547936933771,Randomization,Randomization,"['hounded', 'minuscules', 'absent-mindedly', 'inadvisable', 'asap', 'untacks', 'mismontelukastally', 'lifelong', 'outzidovudinisable', 'breakdowns']"
Mid,Original Instructions,,Randomization,Randomization,"['misethnobiologially', 'reshot', 'tornadoes', 'fusing', 'outcepharanthinations', 'iofendylatisability', 'outexperimentalismatory', 'misfettuccination', 'tear', 'refiring']"
Mid,Original Instructions,,Randomization,Randomization,"['accesses', 'misradonible', 'salvationismisers', 'misappropriation', 'commodores', 'shrievalties', 'outrefractometrication', 'collaterally', 'kahuna', 'doweling']"
Mid,Original Instructions,,Randomization,Randomization,"['bailments', 'lapidary', 'misatbashally', 'oversulphadiazinery', 'semi-skilled', 'demurred', 'mistriclosanisable', 'misnaringination', 'outdesipraminably', 'guesthouses']"
Mid,Original Instructions,88.6063010960864,Randomization,Randomization,"['serialist', 'bogan', 'metricizing', 'grainer', 'subsides', 'declutch', 'peritoneal', 'unambiguous', 'ferry', 'monobrow']"
Mid,Original Instructions,,Randomization,Randomization,"['misbromoformativeness', 'repleting', 'outfalciparisable', 'mutation', 'mecamylamine', 'non-food', 'demobilise', 'mediastinum', 'forestay', 'bakehouses']"
Mid,Original Instructions,,Randomization,Randomization,"['rampaged', 'sprinters', 'fortune', 'regressions', 'outgoopably', 'glams', 'sourly', 'outsalacitication', 'miscyberphobiatisability', 'cabers']"
Mid,Original Instructions,92.706563499859,Randomization,Randomization,"['sideburns', 'smoochier', 'carriageways', 'broken', 'archaean', 'resaved', 'metaphysics', 'overbaccy', 'understanding', 'prisoners']"
Mid,Original Instructions,91.9228419898004,Randomization,Randomization,"['broodily', 'mistletoe', 'prefects', 'bonging', 'diminish', 'inconsistencies', 'underexposes', 'misaggressivitiably', 'nuclides', 'verbalizer']"
Mid,Original Instructions,,Randomization,Randomization,"['noirednesses', 'disclaim', 'perpetuals', 'aluminic', 'conspirers', 'gourmandizes', 'hypocotyl', 'miscepharanthination', 'brawnier', 'geolocation']"
Mid,Original Instructions,91.6746808584425,Randomization,Randomization,"['grove', 'quieten', 'airings', 'squill', 'demeaned', 'outwetwarisable', 'froze', 'truckload', 'roughhouse', 'stetsons']"
Mid,Original Instructions,92.17150542509455,Randomization,Randomization,"['negotiates', 'unpardonably', 'scholastic', 'electrospray', 'swingier', 'careless', 'practices', 'chromite', 'eurocreepation', 'autocue']"
Mid,Original Instructions,,Randomization,Randomization,"['outcrypsisable', 'unclipped', 'non-attritional', 'enormousnesses', 'sparticles', 'cricks', 'randomizers', 'misfluvoxaminally', 'vital', 'outnewspeakativeness']"
Mid,Original Instructions,87.5528263293667,Randomization,Randomization,"['melee', 'mopes', 'grandad', 'screech', 'reusing', 'outablepsicativeness', 'inseminating', 'remarking', 'setup', 'uroscopy']"
Mid,Original Instructions,86.77321635433175,Randomization,Randomization,"['testiness', 'kilohm', 'hooned', 'brownstones', 'quashed', 'departmentally', 'perches', 'genderfucks', 'meatier', 'geoeconomics']"
Mid,Original Instructions,,Randomization,Randomization,"['platitudes', 'preventative', 'daywearisability', 'ousted', 'definitives', 'widest', 'cyberintelligencially', 'roadsweepers', 'stockbreeders', 'outreactionismation']"
Mid,Original Instructions,,Randomization,Randomization,"['gymnospermous', 'subranges', 'overcyberespionagativeness', 'endomorphy', 'overintentionalismally', 'relegated', 'laughableness', 'mortalities', 'coweringly', 'oddnesses']"
Mid,Original Instructions,,Randomization,Randomization,"['oscilloscopes', 'winterizes', 'outworkaholismation', 'glucoses', 'agriculturals', 'sauropodomorphs', 'nourish', 'mispyrrhotitisability', 'unrented', 'outonanismible']"
Mid,Original Instructions,96.09192054587868,Randomization,Randomization,"['posted', 'seasickness', 'biophilosophicativeness', 'overhaircarisability', 'stabilization', 'stagnates', 'transliterated', 'charlatan', 'insults', 'unmechanized']"
Mid,Original Instructions,,Randomization,Randomization,"['hoarding', 'reexamining', 'spunkiest', 'write-offs', 'rosaceativeness', 'misdate', 'princeliness', 'overzoocentrismible', 'fabrosaurs', 'ooziest']"
Mid,Original Instructions,,Randomization,Randomization,"['encumbrances', 'hobbies', 'topos', 'maturative', 'preshrank', 'indelicatenesses', 'ganjaably', 'discomforting', 'rearranges', 'mechanists']"
Mid,Original Instructions,,Randomization,Randomization,"['olfactometer', 'imponderables', 'cozenage', 'outelectrometriably', 'misbudwoodisability', 'gravesides', 'outbroadbansion', 'hoisting', 'jaggedest', 'fragmentarinesses']"
Mid,Original Instructions,,Randomization,Randomization,"['cardiomegalies', 'intonating', 'outsleeps', 'righteousness', 'overdesipraminations', 'monstrous', 'mortals', 'overfermiisable', 'brimless', 'crystallised']"
Mid,Original Instructions,87.68529179381035,Randomization,Randomization,"['amyotrophic', 'shouldered', 'rampage', 'circumstantially', 'overdoer', 'bogeyed', 'mistreatment', 'sulfamethoxazoleably', 'outxanthopsiatisable', 'ingenue']"
Mid,Original Instructions,92.73036885976799,Randomization,Randomization,"['loppers', 'doldrum', 'restoration', 'orthopraxisation', 'advocated', 'dialectal', 'nontrivial', 'oriental', 'unless', 'doughnutting']"
Mid,Original Instructions,,Randomization,Randomization,"['reinquiring', 'steadinesses', 'bream', 'leader', 'outdalbavancinally', 'hackneyed', 'refulgence', 'joy', 'oritavancinations', 'trampled']"
Mid,Original Instructions,,Randomization,Randomization,"['glipizidably', 'peafowl', 'sophisticatedly', 'outautotropismally', 'silverizes', 'outgarbagible', 'rabbits', 'delaying', 'devising', 'charitableness']"
Mid,Original Instructions,84.50396194599595,Randomization,Randomization,"['ebullient', 'hangups', 'non-porous', 'lumpier', 'preconceive', 'wilder', 'baptismal', 'borderless', 'overbite', 'mankier']"
Mid,Original Instructions,92.32622698563065,Randomization,Randomization,"['standoff', 'sculleries', 'sprinting', 'bedmates', 'intersexed', 'pushback', 'vino', 'insufficient', 'metastable', 'non-detachable']"
Mid,Original Instructions,,Randomization,Randomization,"['overgcdation', 'outchlorpromazinery', 'outastrochemistrications', 'outparmigianation', 'gowns', 'philippics', 'vectorize', 'dozily', 'canon', 'magma']"
Mid,Original Instructions,,Randomization,Randomization,"['peon', 'windowless', 'cyanides', 'dramaturgist', 'transmittance', 'deserted', 'mispanentheismations', 'runnier', 'misplutoniumible', 'recceing']"
Mid,Original Instructions,,Randomization,Randomization,"['overintegrabilitiably', 'resounds', 'newly-weds', 'winterizes', 'refills', 'miswakammation', 'noirednesses', 'outelementalismally', 'tow-head', 'isothermally']"
Mid,Original Instructions,,Randomization,Randomization,"['reinvasion', 'cytochemistricativeness', 'toggling', 'balneotherapyible', 'separatist', 'misrosewateriser', 'vocalised', 'rockier', 'irrecusable', 'pneumatised']"
Mid,Original Instructions,,Randomization,Randomization,"['badminton', 'inflating', 'willows', 'fulgurated', 'germaphobiatisable', 'bedraggles', 'helve', 'preloads', 'workpersons', 'pluckless']"
